标题,来源,发布时间,简介,链接
强对流天气蓝色预警,中国气象局,2019年06月04日,"预计6月4日08时至5日08时,内蒙古东部和南部、吉林东部、辽宁南部、河北北部、甘肃南部、山东西部和东部、四川盆地中东部等地的局地将有雷暴大风或冰雹天气;吉林东...",http://www.cma.gov.cn/2011zwxx/2011zyjgl/2011zyjxy/2011zqxyj/201906/t20190604_526307.html
福建迎来高温天气 消防员引导“萌娃”演练火场逃生,人民网,2019年05月31日,图为消防员黄剑斌向学生进行火场逃生授课。 李思源 摄 图为小学生学习正确使用湿毛巾捂住口鼻。 李思源 摄 图为小学生进行逃生演练。 李思源 摄 图为消防员黄...,http://yn.people.com.cn/GB/n2/2019/0531/c378440-33000070.html
中国气象局权威发布端午假期及高考天气,新浪新闻,2019年06月04日,"中国天气网讯今天(4日)下午,中国气象局召开新闻发布会,对未来十天全国天气趋势以及端午假期天气、高考天气进行了权威发布。总体来看,未来十天(5-14日)江南华南有强...",http://news.sina.com.cn/o/2019-06-04/doc-ihvhiews6752007.shtml
高考天气划重点!全国无大范围高温 8日后南方雨势强,新浪新闻,2019年06月04日,"中国天气网讯高考在即,预计今年高考期间(7-9日)南方地区大部会和雨水相伴,尤其在8-9日,江南大部、华南北部一带强降雨会迅速发展,贵州、湖南、广西等地会出现大...",http://news.sina.com.cn/o/2019-06-04/doc-ihvhiqay3497878.shtml
"完整版|古筝名曲《山居秋暝》-空山新雨后,天气晚来秋~",凤凰娱乐,2019年06月04日,"完整版|古筝名曲《山居秋暝》-空山新雨后,天气晚来秋~音乐&gt;乐器2019-06-04 10:05:4903:531527新浪微博 QQ QQ空间 微信展开 播放地址 将视频分享给站外好友...",http://ent.ifeng.com/c/7nE716twGpX
[安徽新闻联播]抢抓晴好天气 全力推进午收进度,央视网,2019年06月04日,[安徽新闻联播]抢抓晴好天气 全力推进午收进度 发布时间:2019年06月04日 19:38 | 来源:央视网 | 手机看新闻 | 手机看视频 ...,http://news.cctv.com/2019/06/04/VIDEa6GnIXbsMGKSqRIied9J190604.shtml
"天公作美,高考天气就是爽!交通限制、送考车停哪…...",澎湃新闻,2019年06月04日,"本文原标题:《天公作美,高考天气就是爽!交通限制、送考车停哪…干货满满!》 原创:晨报全媒体记者 高考倒计时 仅剩 2 天 “十年寒窗磨一剑,只待今朝问鼎时”",http://www.thepaper.cn/newsDetail_forward_3603718
"端午高考天气出炉:南方大部多阴雨,华北黄淮干热晴晒",澎湃新闻,2019年06月04日,"今年端午小长假(6月7日-9日)即将开启,这份豪华精细版假期天气快收下。 总体来看,今年端午假期期间全国无大范围高温天气,但河北南部、河南北部、海南北部等局地有...",http://www.thepaper.cn/newsDetail_forward_3601651
锋面滞留至下周一 全台天气不稳定,中时电子报,2019年06月01日,"气象局预报,锋面滞留于台湾北部海面,至下周一天气都不稳定。(资料照/季志翔摄) 字级设定:小中大特  气象局表示,今(1)日锋面位于台湾北部海面,提供大气暖湿而...",https://www.chinatimes.com/cn/realtimenews/20190601001325-260405
[共度晨光]晨光天气20190604,央视网,2019年06月04日,[共度晨光]晨光天气20190604 发布时间:2019年06月04日 09:10 | 来源:央视网 | 手机看新闻 | 手机看视频 编辑:刘一 责任编辑: ...,http://news.cctv.com/2019/06/04/VIDEp30Tbk8FPfkVKLrjXWYP190604.shtml
“六一”武汉多云天气为主 适合小朋友们外出游玩,新浪新闻,2019年05月30日,"武汉晚报讯(记者陶常宁 通讯员江鸿 李梦蓉)气象部门预计,5月30日武汉有阵雨,但好在降水较弱,影响不大,到6月1日儿童节,天气为多云,适合外出游玩。 武汉市气象...",http://news.sina.com.cn/s/2019-05-30/doc-ihvhiews5557355.shtml
新麦陆续上市 产量质量价格都要“看天气”,新农村商网,2019年05月30日,"卓创资讯分析师徐学平表示,从跟踪调查来看,今年主产区天气情况良好,新小麦长势普遍不错,收获期没有恶劣天气的话,今年质量和产量预计都好于去年,水浇地小麦预计增产,...",http://nc.mofcom.gov.cn/nc/nctv/gzdt/view.do?id=970833
阳光加上小北风 今天天气刚刚好,大众网,2019年05月30日,"阳光加上小北风。今天天气刚刚好在经历了高温、大雨、大风之后,5月的最后两天,咱们沈阳的天气终于恢复了平静,阳光加上小北风 今天天气刚刚好",http://www.dzwww.com/xinwen/shehuixinwen/201905/t20190530_18774074.htm
"天气|“烧烤模式”正式开始,周末再迎高温天气",澎湃新闻,2019年05月30日,"自从我市入夏以来,除了大风和降雨,热和晒绝对是天气的... 自从我市入夏以来,除了大风和降雨,热和晒绝对是天气的&quot;主角”,一不留神就晒黑的日子又悄悄来了…… 这...",http://www.thepaper.cn/newsDetail_forward_3564574
广东省气象局与省教育考试院联合召开2019年高考天气新闻发布会,华禹教育网,2019年06月04日,"6月4日上午,省气象局与省教育考试院在省突发事件预警信息发布中心联合召开高考天气新闻发布会,发布高考天气情况及信息获取渠道、暖心高考准备等情况。 一、近期天气...",http://www.huaue.com/gkao2019/201964165247.htm
强对流天气蓝色预警,中国气象局,2019年06月03日,"降水,小时雨量20-40毫米,局地可达50毫米以上;此外,辽宁北部、河北北部和南部、山东西部和东部、河南东部、甘肃南部、贵州西北部等地的局地将有雷暴大风或冰雹天气...",http://www.cma.gov.cn/2011zwxx/2011zyjgl/2011zyjxy/2011zqxyj/201906/t20190603_526305.html
南宁高考期间天气闷热 雷阵雨不时来打扰,广西新闻网,2019年06月04日,"南宁云—南宁晚报讯(记者 赵金玲)今年高考适逢端午节,那么高考期间天气如何?考生及家长都非常关注。昨日那么,今年高考期间广西天气如何?广西气象台预计,6月4日—9日...",http://www.gxnews.com.cn/staticpages/20190604/newgx5cf5d9c6-18381845.shtml
2019年高考倒计时3天 高考期间天气如何?这些高考信息要掌握,万家热线,2019年06月04日,"2019年高考倒计时3天,考生和家长要了解高考期间天气,还要掌握以下关于2019年高考的考试信息。据了解,2019年报名人数超千万,牢记考试时间和严肃考试纪律,确保考试安全...",http://365jia.cn/news/2019-06-04/F66659ECBFE1A250_3.html
2019年高考倒计时3天 高考期间天气如何?这些高考信息要掌握,万家热线,2019年06月04日,"2019年高考倒计时3天,考生和家长要了解高考期间天气,还要掌握以下关于2019年高考的考试信息。据了解,2019年报名人数超千万,牢记考试时间和严肃考试纪律,确保考试安全...",http://365jia.cn/news/2019-06-04/F66659ECBFE1A250_2.html
2019年高考倒计时3天 高考期间天气如何?这些高考信息要掌握,万家热线,2019年06月04日,"2019年高考倒计时3天,考生和家长要了解高考期间天气,还要掌握以下关于2019年高考的考试信息。据了解,2019年报名人数超千万,牢记考试时间和严肃考试纪律,确保考试安全...",http://365jia.cn/news/2019-06-04/F66659ECBFE1A250.html
上海天气预报,上观,2019年06月04日,"上海天气预报2019年06月04日 02: 要闻 稿件来源:解放日报 今日 晴到多云 温度:最高32℃,最低20℃风向:东南 风力:3-4级 明日 多云,夜里转阴 温度:最高32℃...",https://www.jfdaily.com/journal/2019-06-04/getArticle.htm?id=272516
湖北大部6月5日至6日迎来一轮强降雨并伴有强对流天气,湖北省人民政府,2019年06月04日,"6月4日下午,湖北省气象局发布信息显示,预计6月5日～6日白天,湖北自西向东将有一次强降水过程发生,并伴有雷电大风、冰雹等强对流天气。",http://www.hubei.gov.cn/zwgk/rdgz/rdgzqb/201906/t20190604_1396713.shtml
今年高考天气凉爽,上游新闻网,2019年06月04日,"本报讯(见习记者韦其邑)近两天,随着天气逐步放晴,我区最高气温飙升至35℃,开启了炎热的夏季模式。6月3日,记者从区气象局获悉,预计从4日夜间开始至5日,我区将...",http://www.cqcb.com/county/nanchuanqu/nanchuanquxinwen/2019-06-04/1663157_pc.html
关注中高考:高考期间天气闷热 考生需预防胃肠疾病,东莞阳光网,2019年06月04日,"降水增多,天气闷热,高温潮湿气候下细菌更容易迅速繁殖,食品的腐败变质速度会明显加快,细菌性食源性疾病容易高发。呕吐腹泻、发热畏寒等疾病指症会让考生身体感觉不适。...",http://news.sun0769.com/jrgs/201906/t20190604_8119687.shtml
高考期间天气很给力 考生饮食需注意,江苏网络广播电视台,2019年06月04日,"今天(6月4日)记者从江苏省气象台了解到,高考三天,江苏省的天气温度适宜,考生们不用担心天气来搅局了。不过营养师提醒广大考生家长,学生们的饮食要从现在开始做好...",http://news.jstv.com/a/20190604/9c80ffc168604fae9985834fb803a7dc.shtml
中国气象局提示高考期间天气:华北平原高温、江南中部大到暴雨,未来网,2019年06月04日,"在6月8-9日,江南中部、华南北部有大到暴雨,建议考生提前出门同时注意防范局地雷暴大风等强对流天气。",http://news.k618.cn/dj/201906/t20190604_17435271.html
厦门未来降水减弱 高考期间天气较为闷热,东南网厦门频道,2019年06月04日,"未来一周,在西南暖湿气流的包裹下,厦门湿度大气温高,天气闷热。根据厦门市气象局3日17时40分发布的暴雨预警解除报告,厦门未来降水趋于减弱,厦门市结束防御暴雨洪水...",http://xm.fjsen.com/2019-06/04/content_22359187.htm
高考期间天气较为凉爽 市一中、七中、苏州中学周围交通管制,华商网,2019年06月04日,"华商报-二三里从榆林气象局了解到,高考3天榆林天气较为凉爽,最高温度不超过30℃,天气情况以多云转晴为主。 6月6日:晴天转阴,气温16℃～28℃。 6月7日:多云...",http://yl.hsw.cn/system/2019/0604/16823.shtml
高温持续、明天河南全省有雨 高考期间天气清爽适宜,映象网,2019年06月04日,"徐文明说,6月5日下午到6日白天,全省多云到阴天,有小到中阵雨、雷阵雨,南部部分地区大雨,局部暴雨,并伴有短时强降水、雷暴大风等强对流天气。 预计郑州市6月5...",http://news.hnr.cn/201906/04/40791.html
高考三天西藏拉萨市天气以多云为主,中国西藏网,2019年06月04日,"2019年高考来临,对很多高三考生和家长来说,想必一定非常关心高考前后的天气状况。6月3日,记者从西藏拉萨市气象局获悉,本周拉萨市大部分时段以多云天气为主,部分...",http://www.tibet.cn/cn/edu/201906/t20190604_6601353.html
"每逢高考必有雨?!明天天气开始转折,之后都是雨",株洲传媒网,2019年06月04日,"6月3日,天气晴朗。... 市气象台说,从目前的预报来看,今天将延续昨天的热辣辣状态,晴天,最高气温直冲35℃,周三是本周天气的转折点,之后都是雨。 对高考考生来说...",http://www.zzbtv.com/news/2019-06/04/cms167593article.shtml
"大雨,暴雨!河南这个地方已发布重要天气提醒,快抢收小麦",河南100度,2019年06月04日,"进入六月我省小麦正值收割关键期截止6月3日全省已收44%省农机局发布消息我省小麦今年将迎大丰收!但是,天气似乎不咋给力昨晚强对流天气感受到了吗狂风将大树连根拔...",https://www.henan100.com/news/2019/856921.shtml
"海丽气象吧丨迎强对流天气!寿光降冰雹,昌邑临朐降水量突破50毫米",齐鲁网,2019年06月04日,"齐鲁网潍坊6月4日讯 6月4日,潍坊全市范围内迎来强对流天气,在寿光降下冰雹的同时,昌邑、临朐迎来强降雨。据气象部门预测,截至4日晚,潍坊昌邑柳疃镇降水量突破...",http://weifang.iqilu.com/wfminsheng/2019/0604/4284942.shtml
明天洛阳局地有暴雨 并伴有强对流天气,洛阳网,2019年06月04日,"5日我市将出现分布极不均匀的中阵雨或雷阵雨,局部地区有暴雨并伴有短时雷雨大风、冰雹等强对流天气。此次过程对高温干旱有一定缓解作用,市气象局将抓住有利时机,...",http://news.lyd.com.cn/system/2019/06/04/031350858.shtml
提前预判 真情服务——中南空管局气象中心预报室召开“4.22”天气...,中国民用航空网,2019年06月04日,"2019年5月24日下午,预报室在航管楼2号会议室召开&quot;4.22&quot;天气过程保障复盘会。 首先,预报室主任刘峰带领大家回顾了4月份华南地区的天气特点: 2019年3月9日,华南...",http://www.ccaonline.cn/news/hqtx/519911.html
高温+干热风+雷阵雨 本周麦收应防范强对流天气,河南100度,2019年06月04日,"高温导致空气中不稳定能量增加,我省局部地区将有强对流雷阵雨天气,对麦收工作有一定的影响。",https://www.henan100.com/news/2019/856684.shtml
"强对流天气后,郑州天空现壮观火烧云!",大豫网,2019年06月04日,"进入盛夏,强对流天气将频繁“露脸”,主要集中在傍晚到夜里。6月3日下午5点半开始,郑州天空乌云密布,几个响雷炸开后,降雨说来就来;半个多小时后,西部雨势减弱...",https://henan.qq.com/a/20190604/000828.htm
今天白天郑州持续高温 雷雨大风等强对流天气可能会频繁出现,河南100度,2019年06月04日,"6月2日~4日,我省出现今年首次大范围高温天气。河南省气象台首席预报员徐文明介绍,6月2日,我省共有11个站点超过40℃。",https://www.henan100.com/news/2019/856677.shtml
强对流天气来袭 两人疑似遭雷击,大河网,2019年06月04日,"对此,河南省气象灾害防御技术中心相关人士说,目前还没法将其定性为雷击事故,但夏天短时强对流天气多发,建议大家采取一定的防护措施。进入夏季,极端性天气多发。上周...",http://newpaper.dahe.cn/dhb/html/2019-06/04/content_343809.htm
"长沙市气象局:高考、端午节天气适宜,小心雨水",三湘都市报,2019年06月04日,"高考两天,长沙气温适宜,最高30℃,最低24℃,舒适宜人,有利于高考。",http://sxdsb.voc.com.cn/NewsDetail/1174470.html
最高35℃!益阳进入“高烤”模式!但端午节的天气…,益阳广播电视在线,2019年06月04日,"马上开始播报天气! ↓↓↓ “ 预计本周我市前晴后雨:3日下午～4日晴好天气持续,最高气温可达35℃左右;5～9日西南暖湿气流加强,降水发展,局地较强,并伴有雷...",http://www.yyrtv.com/show-4-60302.html
芜湖周四降雨降温 端午节天气转好气温回升,中国房产..,2019年06月04日,"新的一周开始。芜湖市本周三之前天气晴好,气温高,体感很热,预计周四有一场降雨,高温明显下降。7日起天气转好,气温再次攀升。昨日是周末,我市天气比较闷热,市区...",http://news.wh.xafc.com/show-449-864435-1.html
端午节、高考天气出炉 “天公作美”为宿迁考生加油,中国江苏网,2019年06月04日,"记者从宿迁市气象部门了解到,6月3日至5日白天以晴好天气为主,最高气温的记录也将被一再刷新,其中3日午后到上半夜有分散性雷阵雨;5日后半夜至6日将有中到大...",http://jsnews.jschina.com.cn/sq/a/201906/t20190604_2322470.shtml
端午节高考天气 端午节放假安排2019 端午节高速免费吗?,综投网,2019年06月04日,"市气象台预测,近期我市(含深汕)频繁强降雨过程4日起暂歇。6月5-6日有阵雨或雷阵雨,最高气温32℃;7-8日多云到晴天,天气炎热,局地有短时强雷雨,最高气温32...",http://www.zt5.com/gp/cjkx/412669.html
端午节、高考天气出炉 “天公作美”为宿迁考生加油,江苏网络广播电视台,2019年06月04日,"据宿迁市气象部门预计,截至本周四前,天气还将持续保持“升温”模式,最高气温将达到37℃左右。",http://news.jstv.com/a/20190604/1559629070327.shtml
关注高考天气丨贵阳“喜雨”送考 考生记得早出门带雨具,多彩贵州网,2019年06月04日,"多彩贵州网温馨提醒,高考期间多降雨,广大考生务必提前出门,避免降水天气导致交通拥堵造成迟到;陪考家长在协助整理考试证件、文具的同时,也记得带上雨具;考生行车途中...",http://www.gog.cn/zonghe/system/2019/06/04/017261592.shtml
常州市重污染天气应急预案,中国钢铁新闻网,2019年06月04日,"为深入贯彻习近平生态文明思想,坚决打赢蓝天保卫战,建立健全重污染天气应急工作机制,做好全市重污染天气应急响应工作,最大限度减缓大气污染程度,降低重污染天气造成的...",http://www.csteelnews.com/xwzx/aqhb/201906/t20190604_10508.html
"今天天气晴好,最高温度32度",上海热线,2019年06月04日,"本周以晴好天气开场,可再过几天就要迎来阵雨天气咯!今天多云到晴。今天最高温度32度,最低温度20度,明天多云,但周四开始一波降水会光顾,最高温度维持在29~31度,...",https://hot.online.sh.cn/content/2019-06/04/content_9302098.htm
...为民解困的“炮司令”——记甘肃省人工影响天气办公室高级工程...,每日甘肃网,2019年06月04日,"指导发射的“炮司令”,正是奋战在人影工作一线近30年的甘肃省人工影响天气办公室高级工程师丁瑞津。 丁瑞津自1990开始从事人工影响天气工作,常年奔走在全省各个人...",http://gansu.gansudaily.com.cn/system/2019/06/04/017199956.shtml
冷暖空气频繁活动 廊坊进入强对流天气多发期,廊坊新闻网,2019年06月04日,"本周前中期,受冷暖空气频繁活动影响,我市大部分时段以多云天气为主。6月5日夜间至6月6日白天,我市阴有雷阵雨,局部有中雨。本周最高气温...",http://www.dcgqt.com/langfang/yuanchuang/65460.html
南北疆部分地区今日有雨 和田市有浮尘天气,新疆青年网,2019年06月04日,"新疆青年网主要为网友们提供南北疆部分地区今日有雨 和田市有浮尘天气相关信息;详细内容(天山网讯(记者余梦凡 张万德报道)北疆部分地区有不同程度的降雨,阿勒泰市、...",http://www.xjqnpx.com.cn/news/society/131747.html
今明天气,华西都市网,2019年06月04日,"今明天气2019-06-04 来源: 华西都市报  分享至:  0 分享到:  我要爆料(有奖爆料 20元--1000元) 网络爆料台 随时随地,极速爆料 虚假新闻邮箱爆料:130069110...",http://news.huaxi100.com/index.php?m=content&c=index&a=show&catid=18&id=1018930
"来了!高温橙色预警,还有强对流天气",大众网,2019年06月03日,"高温橙色预警,还有强对流天气继续发布高温橙色预警信号。6月3日白天,承德东部、唐山东部、秦皇岛阴有雷阵雨或零星阵雨转多云,来了!高温橙色预警,还有强对流天气",http://www.dzwww.com/xinwen/guoneixinwen/201906/t20190603_18787937.htm
这周气温直逼30℃ 还有阵雨和大风!端午高考期间天气如何?,浙江在线,2019年06月03日,"除6月3日和4日舟山局部地区有雾外,6月5日下半夜到6月6日,舟山将出现阵雨或雷雨天气过程,6月8日夜里到6月9日,舟山还将有阵雨天气过程。 简单粗暴地说,从目...",https://zj.zjol.com.cn/news.html?id=1213393
最新高考期间天气发布:九江晴雨相间 平均气温24～25℃,大江网,2019年06月03日,"6月3日,记者从九江市气象台举办的新闻发布会上获悉,端午节及高考期间,九江为多云转雨的天气,日平均气温24～25度,人体感觉较舒适。 九江市气象台预报员张晶晶...",http://jj.jxnews.com.cn/system/2019/06/03/017518031.shtml
秦皇岛市积极做好本轮污染天气应对,中国河北,2019年06月03日,"秦皇岛市积极做好本轮污染天气应对2019年06月03日 【字体: 大 中 小】 针对5月31日至6月2日可能出现轻度空气污染过程,我市提前部署,综合采取多项治理措施,...",http://www.hebei.gov.cn/hebei/11937442/10757006/10757152/14643820/index.html
桑拿天气送好礼 国美愿你天黑有灯夏有凉风,腾讯网,2019年06月03日,"不管你愿不愿意,蒸桑拿般的夏天已经正式来临,对于天生怕热的人来说酷暑难熬,还好有国美为你精心准备的纳凉神器,落地扇、循环扇、空调扇应有尽有,总有一款适合你,...",https://xian.qq.com/a/20190603/005297.htm
"热热热,最高39℃!湖北气温一路狂飙!端午天气一言难尽……",荆楚网,2019年06月03日,"、周四)湖北将有一次较明显的降水过程,鄂西南、江汉平原南部、鄂东南和鄂东北中到大雨、局部暴雨,其他地区小到中雨、局部大雨,部分地区伴有雷电大风等强对流天气。...",http://news.cnhubei.com/shehui/p/10817370.html
经历珠峰“大拥堵”和极端天气珠海登山爱好者登顶珠峰,港澳在线,2019年06月03日,"在登顶后继续挑战洛子峰连登过程中,遭遇极端天气,不得不抱憾撤离。返回珠海后,她誓言再战。 文/图:本报记者苏振华 (资料图由葛水琴提供) 经历“鬼门关” 返回...",http://www.gangaonet.com/zhusanjiao/2019/0603/106502.html
北海机场完成天气雷达数据联网共享工作,中国民航网,2019年06月03日,"中国民航网 通讯员李琦 报道:6月1日,北海机场顺利完成天气雷达数据联网共享工作。为尽快完成中南地区天气雷达数据联网共享工作,中南管理局制定了具体实施的时间节点...",http://www.caacnews.com.cn/1/5/201906/t20190603_1274957.html
黑龙江兴凯湖极端天气带来双彩虹风光无限,东方网,2019年06月03日,东方网-东方ic图片频道-精彩组图-人气排行-图说故事-车舞飞扬-网友地盘-秀美风光-时尚美图-科技生活-搞笑贴图-睁大眼睛猜猜猜-花花体坛-海外传真-天下奇观-明星...,http://photo.eastday.com/2018slideshow/20190603_4/index.html
"高温橙色预警,还有强对流天气",凤凰河北站,2019年06月03日,"原标题:来了!高温橙色预警,还有强对流天气继续发布高温橙色预警信号!请防范!根据暖气团的活动状况,下周前半段,河北中南部都将以晴热为主。不过高温区域会逐渐减少...",http://hebei.ifeng.com/a/20190603/7482533_0.shtml
"来了!高温橙色预警,还有强对流天气",中国科技网,2019年06月03日,"以南部邯郸为代表,5号之前,中南部平原都将维持高温天气。 再来关注强对流。未来三天,河北北部强对流天气多发。 6月3日白天,承德东部、唐山东部、秦皇岛阴有雷阵雨...",http://www.wokeji.com/app/chongqing/2019-06/03/content_769998.shtml?ivk_sa=1023197a&ivk_sa_s=130826
"来了!高温橙色预警,还有强对流天气",中国科技网,2019年06月03日,"以南部邯郸为代表,5号之前,中南部平原都将维持高温天气。 再来关注强对流。未来三天,河北北部强对流天气多发。 6月3日白天,承德东部、唐山东部、秦皇岛阴有雷阵雨...",http://www.wokeji.com/app/chongqing/2019-06/03/content_769998.shtml
贵阳本周有两次 强降雨天气过程,人民网贵州站,2019年06月03日,"6月2日,市气象台发布未来一周天气趋势,预计贵阳本周有两次强降雨天气过程(4日～5日、7日～8日),公众需注意防范强降水天气带来的不利影响。贵阳城区具体天气...",http://gz.people.com.cn/n2/2019/0603/c194849-33004478.html
"来了!高温橙色预警,还有强对流天气",河北新闻网,2019年06月03日,"以南部邯郸为代表,5号之前,中南部平原都将维持高温天气。 再来关注强对流。未来三天,河北北部强对流天气多发。 6月3日白天,承德东部、唐山东部、秦皇岛阴有雷阵雨...",http://hebei.hebnews.cn/2019-06/03/content_7411780.htm?spm=0.0.0.0.jkDkEX
长春突遭黑色暴雨 两小时下出一个月东北天气怎么了?,川北在线,2019年06月03日,"原标题:长春突遭黑色暴雨 两小时下出一个月东北天气怎么了? 6月2日晚上,吉林长春突遭猛烈暴雨袭击,和暴雨一起来的还有闪电、炸雷、大风和冰雹。吉林和长春的气象...",http://www.guangyuanol.cn/news/shehui/2019/0603/966123.html
如何在雨雾天气中进行低碳呢,中国企业新闻网,2019年06月03日,"随着人们对低碳生活的重视,人们都会在很多的方面进行低碳,其中,在雨雾天气也可以做到非常的低碳生活,那么,如何在雨雾天气中进行低碳呢?让我们一起来详细的了解下有关的",http://ny.chinacenn.com/dtjj/20190603/128266.html
汶川县6月3日未来24小时天气预报,中国汶川,2019年06月03日,"汶川县6月3日未来24小时天气预报  中国·汶川网 http://www.wenchuan.gov.cn/ 发布时间:2019年6月3日 来源:县气象台 威州镇 多云转阴有阵雨,局地中雨。...",http://www.wenchuan.gov.cn/p/st_news_items_i_cf7f348231d64605bc12ee86592c5cc9
天气:气温继续加速攀升 29日最高有望达到34℃,华夏经纬,2019年05月29日,"昨天,津城紫外线强度升级,蓝天、西风、阳光是天气的关键词。气温攀升的速度也远比我们预计的要快,14时,市区户外气温超过了32℃,周三最高气温继续攀升,有望达到34...",http://www.huaxia.com/jtzq/tjxw/2019/05/6122134.html
5日至6日安徽省有明显降雨过程 淮北地区有高温和雷暴天气,青阳新闻网,2019年06月03日,"6月2日,安徽省基本无降雨,以晴热天气为主。淮河以北最高温度普遍超过30℃,涡阳、界首等地最高温度超过35℃,有利麦收进行。据省气象台预报,3日淮北地区有对流...",http://www.ahqytv.cn/dujia/shenghuo/17603.html
[甘肃新闻]兰州中心气象台发布强对流天气蓝色预警 20190602,央视网,2019年06月02日,[甘肃新闻]兰州中心气象台发布强对流天气蓝色预警 20190602 发布时间:2019年06月02日 20:52 | 来源:央视网 | 手机看新闻 | 手机看视频 ...,http://news.cctv.com/2019/06/02/VIDEUeXXtkptbNT5qN7IMBXc190602.shtml
天气预报,新京报网,2019年05月27日,"今天天气16℃至29℃晴间多云,北风4级(阵风7级左右)转2级左右明天天气晴间多云北转南风2、3级间4级15℃至32℃后天天气晴间多云...",http://www.bjnews.com.cn/feature/2019/05/27/583759.html
天气预报,新京报网,2019年05月26日,"今天天气22℃至24℃中雨,东部大雨(伴有雷电)转阴偏北风2级转4级左右(阵风7级左右)明天天气晴间多云偏北风4、5级(阵风7、8...",http://www.bjnews.com.cn/feature/2019/05/26/583551.html
贵州未来三天天气预报(5月29日),中国天气网,2019年05月29日,转载请注明“来源:中国天气网”。【收藏此页】【打印】 相关新闻焦点图片 高清图集  茂县大型设备全力救援 折多河水暴涨冲毁河堤 实拍日本绝美紫藤隧道安徽遭遇雷雨...,http://www.weather.com.cn/guizhou/qxcp/05/3196442.shtml
5.30江苏天气预报,江苏网络广播电视台,2019年05月29日,"江苏这两天天气相对来说还是比较平静的。今天我省天气晴好,早晨云层较厚,午后在阳光的助力下气温迅速攀升,大部地区达到了28~29℃。 只可惜明天雨水会来凑热闹,受...",http://news.jstv.com/a/20190529/1559128800586.shtml
"要想预知今夏天气如何,且听省气候中心",和讯网,2019年05月29日,"在气候变暖背景下,汛期出现极旱、极涝、极热等极端天气气候事件的概率较大,尤其是受厄尔尼诺事件引发的大气环流异常影响,汛期降水存在较大不确定性。据国家气候中心...",http://shandong.hexun.com/2019-05-29/197348811.html
热҈热҈热҈热҈!端午节、高考天气出炉!南京除了...,澎湃新闻,2019年06月02日,本文原标题:《热҈热҈热҈热҈!端午节、高考天气出炉!南京除了高温还有……》 |都市|品质|生活|分享| 这是一个为你打造的平台 相信你会深深地爱上...,http://www.thepaper.cn/newsDetail_forward_3591115
6月4日天气预报,中国连云港政府门户网,2019年06月04日,"连云港气象台今天(2019年06月04日)06时发布高温报告今天白天到夜里:多云到晴,南风2到3级,明天最低气温:21℃到22℃,今天最高气温:35℃到36℃; 趋势天气: 5...",http://www.lyg.gov.cn/zglygzfmhwz/ggsyl/content/335cfbe2-c5c8-4476-a7d8-f75737402bc9.html
跟20℃天say拜拜 37℃高温即将到货 端午天气…,青岛新闻网,2019年06月02日,"未来一周,青岛以多云天气为主,多分散性阵雨或雷阵雨。最高气温市区及沿海地区22～28℃,内陆地区24～35℃;最低气温市区及沿海地区17～20℃,内陆地区14～21℃。...",http://news.qingdaonews.com/qingdao/2019-06/02/content_20383720.htm
厦门气象台发布暴雨预警Ⅳ级 预计今晚至明日有强对流天气,厦门网,2019年06月02日,"区(内厝镇、新店镇、新圩镇)及厦金海域累积面雨量可达40～60毫米,局部超60毫米(详见附图),降水过程中局地可能伴有6～9级雷雨大风和短时强降水等强对流天气。...",http://news.xmnn.cn/xmnn/2019/06/02/100544936.shtml
"雷阵雨+大风!雷雨连续发货,强对流天气要小心!",河北新闻网,2019年06月02日,"6月2日白天,保定、廊坊以北地区多云间阴有雷阵雨,雷雨时局地伴有短时大风、冰雹、短时强降水等强对流天气,其他地区多云。 2日夜间到3日,张家口、承德、唐山北...",http://hebei.hebnews.cn/2019-06/02/content_7411574.htm?spm=0.0.0.0.wPMYUD
杭州下周气温飙至36℃!高考、端午节天气有变化!梅雨要来了吗?,浙江在线,2019年06月02日,"下周杭州的天气整体上来看是晴多雨少,降雨主要出现在6月5日夜里到6月6日。... 下周杭州的天气整体上来看是晴多雨少,降雨主要出现在6月5日夜里到6月6日。 6...",http://cs.zjol.com.cn/zjbd/hz16503/201906/t20190602_10253633.shtml
最新天气:05月26日12时天气预报,中国天气网,2019年05月26日,"今天下午到夜里,黄河以北和开封、商丘、信阳三地区多云间阴天,部分地区有分散性阵雨、雷阵雨,局地伴有雷暴大风、短时强降水等强对流天气;其它地区多云。今天下午,...",http://www.weather.com.cn/henan/tqyw/05/3195121.shtml
27-29日广东将有大范围强降水天气 已进入“龙舟水”时节 需做好...,中国天气网,2019年05月25日,"中国天气网讯24日到25日早晨,粤西、珠江三角洲和粤北部分市县出现了中到大雨局部暴雨,其中茂名、阳江、江门部分地区出现了暴雨到大暴雨局部特大暴雨,其余市县阴天间...",http://www.weather.com.cn/guangdong/syxw/05/3194855.shtml
天气,新京报网,2019年05月21日,"今天天气:13℃至31℃,晴间多云,偏北风3、4(阵风6级)级转2级... 今天天气:13℃至31℃,晴间多云,偏北风3、4(阵风6级)级转2级92 一天 一周 一月 ...",http://www.bjnews.com.cn/feature/2019/05/21/581300.html
